game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
59,1,12,409,639,8,5,,4:evolve_active_with_bench_available,,,1,7,11,11,9,,9,11,1,4,4,4,4,8,4,4,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True
60,0,9,583,332,4,6,,8:evolve_active_with_bench_available,,,1,3,3,3,,3,3,3,1,8,8,8,,,,8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
61,0,11,785,166,4,5,,,,drawn_never_played,5,5,7,7,9,3,3,7,1,6,,,6,,6,,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False
62,1,12,204,454,6,6,,,played_then_ko_before_meganium,,1,5,,,7,,7,,6,6,12,12,,4,4,12,True,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False
63,1,12,627,550,7,6,,4:evolve_active_with_bench_available;11:unknown,,,3,7,9,9,9,5,5,9,1,4,4,6,10,4,4,6,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
64,0,11,562,454,5,8,9:forced_or_chosen_switch,7:unknown,,,1,3,3,3,9,3,3,3,1,6,6,6,,6,6,6,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True
65,1,10,409,678,6,3,,,,,1,9,9,9,,3,3,9,1,,4,4,,4,4,4,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True
66,1,26,362,698,8,4,,4:evolve_active_with_bench_available,,,1,7,23,23,,,,23,1,4,4,18,,18,18,18,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
67,0,9,726,451,4,4,,,,,1,3,5,5,7,5,5,5,2,,8,8,,8,8,8,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True
68,1,10,148,742,5,4,,4:evolve_active_with_bench_available,drawn_never_played,,1,3,,,,,,,1,4,4,4,,4,4,4,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
69,0,11,521,367,3,7,,4:evolve_active_with_bench_available;8:forced_or_chosen_switch,,,1,3,5,5,,9,9,,1,4,4,4,,,,8,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
70,1,16,532,617,8,8,4:unknown;9:forced_or_chosen_switch;11:forced_or_chosen_switch;13:forced_or_chosen_switch,9:unknown,,,1,7,3,3,,3,3,3,1,8,8,8,8,8,8,8,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True
71,1,12,255,742,5,4,,,drawn_never_played,,5,5,,,11,5,5,,1,4,8,8,,6,6,8,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False
72,0,13,824,210,9,6,,,,played_then_ko_before_meganium,1,5,5,5,7,5,5,5,6,6,,,,4,4,,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,False
73,0,15,672,555,5,7,,,,,1,7,9,9,13,9,9,9,10,10,12,12,,14,14,14,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True
74,0,11,738,111,3,5,,,,played_then_ko_before_meganium,3,11,7,7,11,5,5,7,1,6,,,,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
75,0,13,654,384,6,7,,6:forced_or_chosen_switch,,,5,5,5,5,9,5,5,5,2,10,4,4,,12,12,6,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True
76,1,14,133,296,4,2,,,played_then_ko_before_meganium,drawn_never_played,1,,,,,,,,1,10,,,4,10,4,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
77,1,10,463,258,5,2,,,,played_then_ko_before_meganium,3,9,5,5,,3,3,5,1,4,,,,6,6,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
78,0,7,264,116,0,2,,,played_stuck_never_evolved,drawn_never_played,1,,,,,5,5,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,1,10,280,589,6,2,,,,,1,5,5,5,,3,3,9,1,,8,8,,4,4,8,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False
80,1,10,503,528,6,7,,9:unknown,,,1,5,3,3,7,3,3,3,2,4,4,4,,4,4,4,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True
81,0,13,668,372,6,6,,,,,1,9,9,9,,7,7,9,1,4,12,12,,4,4,12,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True
82,0,15,238,513,3,8,,,drawn_never_played,,1,3,,,,5,5,,2,8,10,10,,10,10,10,True,True,False,False,False,True,True,False,True,True,False,False,False,True,True,True
83,1,12,362,668,7,4,7:evolve_active_with_bench_available;9:forced_or_chosen_switch;11:forced_or_chosen_switch,,,,1,7,7,7,,,,7,6,10,8,8,,4,4,8,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False
